IL_DepartureDate,IL_ArrivalDate,IL_DepartureStation,IL_ArrivalStation,InternationalDesc,LiftStatus,FlyThru,IsNTL,Day_of_Week_Departure,Day_of_Week_Arrival,DepartureCountry,ArrivalCountry,LegNumber,StartingPoint,EndingPoint,PaxCount
01-14-25,01-14-25,LHR,KUL,INT,2,No,No,2,2,Thailand,Malaysia,A0495,LHR,KUL,149
01-14-25,01-14-25,LHR,KUL,INT,2,No,No,2,2,Thailand,Malaysia,A0495,LHR,PEN,75
10-20-25,10-20-25,HND,BKK,INT,0,No,No,1,1,Japan,Thailand,A0318,HND,BKK,52
10-20-25,10-20-25,HND,BKK,INT,0,No,No,1,1,Japan,Thailand,A0318,HND,JFK,17
10-09-25,10-09-25,PEN,LHR,INT,1,Yes,No,4,4,Malaysia,Thailand,A0499,PEN,LHR,111
10-09-25,10-09-25,PEN,LHR,INT,1,Yes,No,4,4,Malaysia,Thailand,A0499,PEN,KUL,51
03-06-26,03-06-26,PEN,LHR,INT,1,Yes,No,5,5,Malaysia,Thailand,A0456,PEN,LHR,81
03-06-26,03-06-26,PEN,LHR,INT,1,Yes,No,5,5,Malaysia,Thailand,A0456,PEN,KUL,51
07-16-25,07-16-25,BKI,BKK,INT,1,No,No,3,3,Malaysia,Thailand,A0010,BKI,BKK,141
07-16-25,07-16-25,BKI,BKK,INT,1,No,No,3,3,Malaysia,Thailand,A0010,BKI,JFK,70
02-16-25,02-16-25,LHR,CGK,INT,0,No,No,7,7,Thailand,Indonesia,A0309,LHR,CGK,170
02-16-25,02-16-25,LHR,CGK,INT,0,No,No,7,7,Thailand,Indonesia,A0309,LHR,SYD,52
02-14-26,02-14-26,BKK,JFK,INT,2,No,No,6,6,Thailand,Indonesia,A0483,BKK,JFK,35
02-14-26,02-14-26,BKK,JFK,INT,2,No,No,6,6,Thailand,Indonesia,A0483,BKK,CGK,21
04-04-26,04-04-26,HND,BKK,INT,1,Yes,No,6,6,Japan,Thailand,A0085,HND,BKK,38
04-04-26,04-04-26,HND,BKK,INT,1,Yes,No,6,6,Japan,Thailand,A0085,HND,JFK,22
02-20-26,02-20-26,LHR,SYD,INT,2,No,No,5,5,Thailand,Philippines,A0103,LHR,SYD,33
02-20-26,02-20-26,LHR,SYD,INT,2,No,No,5,5,Thailand,Philippines,A0103,LHR,PEN,8
10-29-25,10-29-25,CGK,SYD,INT,2,No,No,3,3,Indonesia,Philippines,A0041,CGK,SYD,12
10-29-25,10-29-25,CGK,SYD,INT,2,No,No,3,3,Indonesia,Philippines,A0041,CGK,PEN,3
03-10-26,03-10-26,KUL,PEN,DOM,3,No,No,2,2,Malaysia,Malaysia,A0293,KUL,PEN,111
03-10-26,03-10-26,KUL,PEN,DOM,3,No,No,2,2,Malaysia,Malaysia,A0293,KUL,LHR,52
09-11-25,09-11-25,LHR,PEN,INT,3,Yes,No,4,4,Thailand,Malaysia,A0043,LHR,PEN,152
09-11-25,09-11-25,LHR,PEN,INT,3,Yes,No,4,4,Thailand,Malaysia,A0043,LHR,LHR,44
02-01-26,02-01-26,BKK,SIN,INT,2,No,No,7,7,Thailand,Singapore,A0163,BKK,SIN,102
02-01-26,02-01-26,BKK,SIN,INT,2,No,No,7,7,Thailand,Singapore,A0163,BKK,LHR,25
01-29-25,01-29-25,LHR,KUL,INT,2,No,No,3,3,Thailand,Malaysia,A0098,LHR,KUL,23
01-29-25,01-29-25,LHR,KUL,INT,2,No,No,3,3,Thailand,Malaysia,A0098,LHR,PEN,12
02-15-25,02-15-25,SIN,LHR,INT,2,No,No,6,6,Singapore,Thailand,A0056,SIN,LHR,111
02-15-25,02-15-25,SIN,LHR,INT,2,No,No,6,6,Singapore,Thailand,A0056,SIN,KUL,59
04-21-26,04-21-26,SIN,CGK,INT,1,Yes,No,2,2,Singapore,Indonesia,A0440,SIN,CGK,67
04-21-26,04-21-26,SIN,CGK,INT,1,Yes,No,2,2,Singapore,Indonesia,A0440,SIN,SYD,33
08-06-25,08-07-25,PEN,SIN,INT,3,Yes,No,3,4,Malaysia,Singapore,A0180,PEN,SIN,2
08-06-25,08-07-25,PEN,SIN,INT,3,Yes,No,3,4,Malaysia,Singapore,A0180,PEN,LHR,1
07-29-25,07-29-25,PEN,LHR,INT,0,No,No,2,2,Malaysia,Thailand,A0207,PEN,LHR,11
07-29-25,07-29-25,PEN,LHR,INT,0,No,No,2,2,Malaysia,Thailand,A0207,PEN,KUL,4
01-31-25,01-31-25,SIN,KUL,INT,2,Yes,No,5,5,Singapore,Malaysia,A0108,SIN,KUL,62
01-31-25,01-31-25,SIN,KUL,INT,2,Yes,No,5,5,Singapore,Malaysia,A0108,SIN,PEN,38
10-05-25,10-05-25,KUL,PEN,DOM,0,No,No,7,7,Malaysia,Malaysia,A0397,KUL,PEN,109
10-05-25,10-05-25,KUL,PEN,DOM,0,No,No,7,7,Malaysia,Malaysia,A0397,KUL,LHR,52
10-14-25,10-14-25,LHR,PEN,INT,3,Yes,No,2,2,Thailand,Malaysia,A0276,LHR,PEN,89
10-14-25,10-14-25,LHR,PEN,INT,3,Yes,No,2,2,Thailand,Malaysia,A0276,LHR,LHR,39
01-18-25,01-18-25,SIN,LHR,INT,3,No,No,6,6,Singapore,Thailand,A0079,SIN,LHR,65
01-18-25,01-18-25,SIN,LHR,INT,3,No,No,6,6,Singapore,Thailand,A0079,SIN,KUL,30
04-20-25,04-20-25,BKK,BKI,INT,0,No,No,7,7,Thailand,Malaysia,A0474,BKK,BKI,75
04-20-25,04-20-25,BKK,BKI,INT,0,No,No,7,7,Thailand,Malaysia,A0474,BKK,BKK,31
01-07-25,01-07-25,LHR,BKK,INT,1,Yes,No,2,2,Thailand,Thailand,A0379,LHR,BKK,28
01-07-25,01-07-25,LHR,BKK,INT,1,Yes,No,2,2,Thailand,Thailand,A0379,LHR,JFK,12
02-01-25,02-01-25,KUL,SYD,INT,2,Yes,No,6,6,Malaysia,Philippines,A0270,KUL,SYD,80
02-01-25,02-01-25,KUL,SYD,INT,2,Yes,No,6,6,Malaysia,Philippines,A0270,KUL,PEN,44
05-17-25,05-17-25,KUL,CGK,INT,0,No,No,6,6,Malaysia,Indonesia,A0445,KUL,CGK,119
05-17-25,05-17-25,KUL,CGK,INT,0,No,No,6,6,Malaysia,Indonesia,A0445,KUL,SYD,70
04-26-26,04-26-26,SIN,LHR,INT,0,No,No,7,7,Singapore,Thailand,A0227,SIN,LHR,159
04-26-26,04-26-26,SIN,LHR,INT,0,No,No,7,7,Singapore,Thailand,A0227,SIN,KUL,51
05-24-26,05-24-26,KUL,SYD,INT,1,No,No,7,7,Malaysia,Philippines,A0426,KUL,SYD,73
05-24-26,05-24-26,KUL,SYD,INT,1,No,No,7,7,Malaysia,Philippines,A0426,KUL,PEN,44
11-22-25,11-22-25,KUL,SIN,INT,0,No,No,6,6,Malaysia,Singapore,A0364,KUL,SIN,29
11-22-25,11-22-25,KUL,SIN,INT,0,No,No,6,6,Malaysia,Singapore,A0364,KUL,LHR,7
06-21-26,06-21-26,JFK,CGK,INT,1,No,Yes,7,7,Indonesia,Indonesia,A0225,JFK,CGK,39
06-21-26,06-21-26,JFK,CGK,INT,1,No,Yes,7,7,Indonesia,Indonesia,A0225,JFK,SYD,17
09-18-25,09-18-25,KUL,JFK,INT,0,No,No,4,4,Malaysia,Indonesia,A0011,KUL,JFK,181
09-18-25,09-18-25,KUL,JFK,INT,0,No,No,4,4,Malaysia,Indonesia,A0011,KUL,CGK,49
03-15-26,03-15-26,KUL,SYD,INT,0,Yes,No,7,7,Malaysia,Philippines,A0270,KUL,SYD,71
03-15-26,03-15-26,KUL,SYD,INT,0,Yes,No,7,7,Malaysia,Philippines,A0270,KUL,PEN,25
10-06-25,10-06-25,SIN,SYD,INT,0,Yes,No,1,1,Singapore,Philippines,A0105,SIN,SYD,95
10-06-25,10-06-25,SIN,SYD,INT,0,Yes,No,1,1,Singapore,Philippines,A0105,SIN,PEN,62
04-29-26,04-29-26,JFK,PEN,INT,3,Yes,No,3,3,Indonesia,Malaysia,A0184,JFK,PEN,161
04-29-26,04-29-26,JFK,PEN,INT,3,Yes,No,3,3,Indonesia,Malaysia,A0184,JFK,LHR,59
05-24-26,05-24-26,BKI,KUL,DOM,0,Yes,No,7,7,Malaysia,Malaysia,A0237,BKI,KUL,78
05-24-26,05-24-26,BKI,KUL,DOM,0,Yes,No,7,7,Malaysia,Malaysia,A0237,BKI,PEN,40
05-09-25,05-09-25,KUL,PEN,DOM,3,No,No,5,5,Malaysia,Malaysia,A0397,KUL,PEN,72
05-09-25,05-09-25,KUL,PEN,DOM,3,No,No,5,5,Malaysia,Malaysia,A0397,KUL,LHR,26
