IL_DepartureDate,DepartYear,DepartMonth,Day_of_Week_Departure,TotalDep,LegNumber,IL_DepartureStation,IL_ArrivalStation,InternationalDesc,LiftStatus,FlyThru,IsNTL,DepartureCountry,ArrivalCountry
01-14-25,2025,January,2,224,A0495,LHR,KUL,INT,Boarded,No,No,Thailand,Malaysia
10-20-25,2025,October,1,69,A0318,HND,BKK,INT,Default,No,No,Japan,Thailand
10-09-25,2025,October,4,162,A0499,PEN,LHR,INT,CheckedIn,Yes,No,Malaysia,Thailand
03-06-26,2026,March,5,132,A0456,PEN,LHR,INT,CheckedIn,Yes,No,Malaysia,Thailand
07-16-25,2025,July,3,211,A0010,BKI,BKK,INT,CheckedIn,No,No,Malaysia,Thailand
02-16-25,2025,February,7,222,A0309,LHR,CGK,INT,Default,No,No,Thailand,Indonesia
02-14-26,2026,February,6,56,A0483,BKK,JFK,INT,Boarded,No,No,Thailand,Indonesia
04-04-26,2026,April,6,60,A0085,HND,BKK,INT,CheckedIn,Yes,No,Japan,Thailand
02-20-26,2026,February,5,41,A0103,LHR,SYD,INT,Boarded,No,No,Thailand,Philippines
10-29-25,2025,October,3,15,A0041,CGK,SYD,INT,Boarded,No,No,Indonesia,Philippines
03-10-26,2026,March,2,163,A0293,KUL,PEN,DOM,NoShow,No,No,Malaysia,Malaysia
09-11-25,2025,September,4,196,A0043,LHR,PEN,INT,NoShow,Yes,No,Thailand,Malaysia
02-01-26,2026,February,7,127,A0163,BKK,SIN,INT,Boarded,No,No,Thailand,Singapore
01-29-25,2025,January,3,35,A0098,LHR,KUL,INT,Boarded,No,No,Thailand,Malaysia
02-15-25,2025,February,6,170,A0056,SIN,LHR,INT,Boarded,No,No,Singapore,Thailand
04-21-26,2026,April,2,100,A0440,SIN,CGK,INT,CheckedIn,Yes,No,Singapore,Indonesia
08-06-25,2025,August,3,3,A0180,PEN,SIN,INT,NoShow,Yes,No,Malaysia,Singapore
07-29-25,2025,July,2,15,A0207,PEN,LHR,INT,Default,No,No,Malaysia,Thailand
