IL_DepartureDate,IL_ArrivalDate,Day_of_Week_Departure,Day_of_Week_Arrival,LegNumber,IL_DepartureStation,IL_ArrivalStation,InternationalDesc,LiftStatus,FlyThru,IsNTL,Jan_Dep,Jan_Arr,Feb_Dep,Feb_Arr,Mar_Dep,Mar_Arr,Apr_Dep,Apr_Arr,May_Dep,May_Arr,Jun_Dep,Jun_Arr,Jul_Dep,Jul_Arr,Aug_Dep,Aug_Arr,Sep_Dep,Sep_Arr,Oct_Dep,Oct_Arr,Nov_Dep,Nov_Arr,Dec_Dep,Dec_Arr,TotalDepPax,TotalArrPax,DepartureCountry,ArrivalCountry
01-14-25,01-14-25,2,2,A0495,LHR,KUL,INT,2,No,No,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,Thailand,Malaysia
10-20-25,10-20-25,1,1,A0318,HND,BKK,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,0,0,0,69,69,Japan,Thailand
10-09-25,10-09-25,4,4,A0499,PEN,LHR,INT,1,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,162,162,Malaysia,Thailand
03-06-26,03-06-26,5,5,A0456,PEN,LHR,INT,1,Yes,No,0,0,0,0,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,132,Malaysia,Thailand
07-16-25,07-16-25,3,3,A0010,BKI,BKK,INT,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,211,211,0,0,0,0,0,0,0,0,0,0,211,211,Malaysia,Thailand
02-16-25,02-16-25,7,7,A0309,LHR,CGK,INT,0,No,No,0,0,222,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,222,Thailand,Indonesia
02-14-26,02-14-26,6,6,A0483,BKK,JFK,INT,2,No,No,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,Thailand,Indonesia
04-04-26,04-04-26,6,6,A0085,HND,BKK,INT,1,Yes,No,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Japan,Thailand
02-20-26,02-20-26,5,5,A0103,LHR,SYD,INT,2,No,No,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,Thailand,Philippines
10-29-25,10-29-25,3,3,A0041,CGK,SYD,INT,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,15,15,Indonesia,Philippines
03-10-26,03-10-26,2,2,A0293,KUL,PEN,DOM,3,No,No,0,0,0,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,163,Malaysia,Malaysia
09-11-25,09-11-25,4,4,A0043,LHR,PEN,INT,3,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,196,0,0,0,0,0,0,196,196,Thailand,Malaysia
02-01-26,02-01-26,7,7,A0163,BKK,SIN,INT,2,No,No,0,0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,Thailand,Singapore
01-29-25,01-29-25,3,3,A0098,LHR,KUL,INT,2,No,No,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,Thailand,Malaysia
02-15-25,02-15-25,6,6,A0056,SIN,LHR,INT,2,No,No,0,0,170,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,Singapore,Thailand
04-21-26,04-21-26,2,2,A0440,SIN,CGK,INT,1,Yes,No,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Singapore,Indonesia
08-06-25,08-07-25,3,4,A0180,PEN,SIN,INT,3,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,Malaysia,Singapore
07-29-25,07-29-25,2,2,A0207,PEN,LHR,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,15,Malaysia,Thailand
01-31-25,01-31-25,5,5,A0108,SIN,KUL,INT,2,Yes,No,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Singapore,Malaysia
10-05-25,10-05-25,7,7,A0397,KUL,PEN,DOM,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,161,0,0,0,0,161,161,Malaysia,Malaysia
10-14-25,10-14-25,2,2,A0276,LHR,PEN,INT,3,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,128,128,Thailand,Malaysia
01-18-25,01-18-25,6,6,A0079,SIN,LHR,INT,3,No,No,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,Singapore,Thailand
04-20-25,04-20-25,7,7,A0474,BKK,BKI,INT,0,No,No,0,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,Thailand,Malaysia
